Skills,Count
python,662
java,601
c++,495
c,442
spark,244
swift,241
sql,233
objective-c,216
javascript,168
kubernetes,168
scala,165
linux,156
hadoop,155
kafka,146
unix,131
go,128
aws,127
cassandra,127
nosql,126
sap,109
macos,101
git,94
ci,89
shell,85
perl,83
oracle,79
cd,78
solr,75
ruby,73
docker,68
hive,68
ansible,67
bash,65
react,65
tensorflow,54
jenkins,50
chef,48
css,48
html,48
redis,48
tcp,47
puppet,46
pytorch,46
tableau,45
cocoa,42
splunk,40
r,40
uikit,39
gcp,38
azure,30
